"sample.names";"species";"type";"kit";"preparation";"n_elution";"group";"num";"DNAconcentration";"sequenced";"exp"
"exp1_MAGMAX-eau-1elu-7";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"7";132;FALSE;"1"
"exp1_MAGMAX-eau-1elu-8";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"8";190;TRUE;"1"
"exp1_MAGMAX-eau-1elu-9";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"9";264;FALSE;"1"
"exp1_MAGMAX-eau-1elu-10";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"10";318;FALSE;"1"
"exp1_MAGMAX-eau-1elu-11";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"11";57;TRUE;"1"
"exp1_MAGMAX-eau-1elu-12";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"12";60,4;TRUE;"1"
"exp1_MAGMAX-eau-1elu-13";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"13";82;FALSE;"1"
"exp1_MAGMAX-eau-1elu-14";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"14";104;FALSE;"1"
"exp1_MAGMAX-eau-1elu-15";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"15";122;FALSE;"1"
"exp1_MAGMAX-eau-1elu-B";"BCC";"ctrl";"MagMAX";"water";"1";"MM_water_1";"negative";29,2;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-1";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"1";154;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-2";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"2";56,8;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-3";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"3";92;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-4";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"4";116;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-5";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"5";178;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-6";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"6";75,8;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-7";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"7";112;TRUE;"1"
"exp1_MAGMAX-PBS-1elu-8";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"8";187;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-9";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"9";368;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-10";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"10";107;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-11";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"11";173;TRUE;"1"
"exp1_MAGMAX-PBS-1elu-12";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"12";66,2;TRUE;"1"
"exp1_MAGMAX-PBS-1elu-13";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"13";95,2;FALSE;"1"
"exp1_MAGMAX-PBS-1elu-14";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"14";90,2;TRUE;"1"
"exp1_MAGMAX-PBS-1elu-15";"BCC";"sample";"MagMAX";"PBS";"1";"MM_PBS_1";"15";204;TRUE;"1"
"exp1_MAGMAX-PBS-1elu-B";"BCC";"ctrl";"MagMAX";"PBS";"1";"MM_PBS_1";"negative";22,6;TRUE;"1"
"exp1_StoolNorgen-eau-1elu-1";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"1";670;TRUE;"1"
"exp1_StoolNorgen-eau-1elu-2";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"2";440;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-3";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"3";92,6;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-4";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"4";54,8;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-5";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"5";378;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-6";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"6";240;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-7";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"7";498;FALSE;"1"
"exp1_StoolNorgen-eau-1elu-8";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"8";302;TRUE;"1"
"exp1_StoolNorgen-eau-1elu-9";"BCC";"sample";"StoolNorgen";"water";"1";"SN_water_1";"9";454;FALSE;"1"
